0.9018911,4.590596,17.44762	0,0.9997122,0,-0.02399514
0.9018911,4.590596,17.44762	0,0.9997122,0,-0.02399515
0.9018911,4.590595,17.44762	0,0.9997122,0,-0.02399515
0.9018911,4.590596,17.44762	0,0.9997122,0,-0.02399515
0.9018911,4.590596,17.44762	0,0.9997122,0,-0.02399516
0.9107736,4.590602,17.6326	0,0.9640435,0,-0.2657444
0.9196596,4.590584,17.8176	0,0.880547,0,-0.4739589
0.928544,4.590603,18.00257	0,0.7703412,0,-0.637632
0.9374297,4.590597,18.18756	0,0.65255,0,-0.7577457
0.9463142,4.59062,18.37253	0,0.5400251,0,-0.8416489
0.9552004,4.590612,18.55754	0,0.4394536,0,-0.8982653
0.9640864,4.590583,18.74253	0,0.3531816,0,-0.9355548
0.9729704,4.5906,18.92749	0,0.281057,0,-0.9596911
0.9818562,4.590595,19.11249	0,0.2217321,0,-0.9751076
0.9907422,4.590571,19.29749	0,0.1734349,0,-0.9848453
0.9996263,4.59059,19.48245	0,0.134371,0,-0.9909311
1.008512,4.590583,19.66744	0,0.1029051,0,-0.9946913
1.017627,4.742573,19.85722	0,0.07762524,0,-0.9969826
1.026743,5.046563,20.047	0,0.05734861,0,-0.9983543
1.035859,5.342553,20.23678	0,0.04760399,0,-0.9988663
1.044974,5.630543,20.42657	0,0.03902267,0,-0.9992384
1.05409,5.910533,20.61635	0,0.03146713,0,-0.9995048
1.063205,6.182524,20.80613	0,0.02481569,0,-0.999692
1.072321,6.446514,20.99591	0,0.01896078,0,-0.9998202
1.081436,6.702503,21.18569	0,0.01380742,0,-0.9999047
1.090552,6.950493,21.37547	0,0.009271813,0,-0.999957
1.099668,7.190484,21.56525	0,0.005280088,0,-0.9999861
1.108783,7.422473,21.75503	0,0.001767143,0,-0.9999985
1.117899,7.646463,21.94481	0,-0.001324376,0,-0.9999992
1.12759,7.862453,22.14658	0,-0.004044976,0,-0.9999918
1.137857,8.070444,22.36033	0,-0.006439129,0,-0.9999793
1.1487,8.270434,22.58607	0,-0.008545988,0,-0.9999635
1.160118,8.462424,22.8238	0,-0.01040001,0,-0.9999459
1.172112,8.646415,23.07351	0,-0.01203155,0,-0.9999276
1.184682,8.822405,23.33521	0,-0.01346728,0,-0.9999093
1.197828,8.990396,23.60889	0,-0.0147307,0,-0.9998915
1.211549,9.150386,23.89457	0,-0.01584251,0,-0.9998745
1.226681,9.302376,24.19215	0,-0.01682088,0,-0.9998586
1.244512,9.446366,24.50143	0,-0.02186882,0,-0.9997609
1.266051,9.582356,24.82213	0,-0.03284338,0,-0.9994605
1.291744,9.710346,25.15408	0,-0.04771307,0,-0.9988611
1.312508,9.830337,25.49697	0,-0.0631384,0,-0.9980048
1.328343,9.942327,25.8508	0,-0.03047729,0,-0.9995354
1.33925,10.04632,26.21558	0,-0.001619521,0,-0.9999987
1.345228,10.14231,26.59129	0,0.0238374,0,-0.9997159
1.346278,10.2303,26.97795	0,0.04626837,0,-0.9989291
1.342399,10.31029,27.37555	0,0.0660168,0,-0.9978185
1.333591,10.38228,27.78408	0,0.08339345,0,-0.9965167
1.319855,10.44627,28.20356	0,0.09867719,0,-0.9951195
1.30119,10.50226,28.63399	0,0.1121167,0,-0.9936951
1.277406,10.55025,29.07526	0,0.1239326,0,-0.9922907
1.248221,10.59024,29.52725	0,0.135355,0,-0.9907972
1.213449,10.62223,29.98986	0,0.1469452,0,-0.9891446
1.173042,10.64622,30.46307	0,0.1581632,0,-0.987413
1.127003,10.66221,30.94687	0,0.1682793,0,-0.9857394
1.075329,10.6702,31.44126	0,0.1771695,0,-0.9841804
1.018022,10.67019,31.94625	0,0.1849827,0,-0.9827418
0.9550814,10.66218,32.46184	0,0.1918499,0,-0.9814243
0.886507,10.64617,32.98803	0,0.1978861,0,-0.980225
0.8122989,10.62216,33.5248	0,0.2031923,0,-0.9791389
0.7324571,10.59015,34.07218	0,0.2078573,0,-0.9781592
0.6469817,10.55014,34.63015	0,0.2119588,0,-0.9772786
0.5558726,10.50213,35.19871	0,0.2155652,0,-0.9764894
0.4682719,10.44612,35.77875	0,0.2187366,0,-0.975784
0.3841797,10.38211,36.37027	0,0.1760058,0,-0.9843891
0.3035959,10.3101,36.97326	0,0.1379139,0,-0.9904442
0.2265205,10.23009,37.58772	0,0.1040768,0,-0.9945693
0.1528534,10.14208,38.2137	0,0.0740993,0,-0.9972509
0.08244348,10.04607,38.85122	0,0.04810892,0,-0.9988421
0.02049984,10.15872,39.51288	0,0.198604,0,0.9800798
-0.03301186,10.27889,40.19856	0,0.198604,0,0.9800798
-0.07807336,10.40671,40.90812	-0.004141847,0.2022235,-0.002193462,0.9793282
-0.1145624,10.54231,41.64138	-0.007920365,0.2061666,-0.00405133,0.9784765
-0.1423541,10.68582,42.39812	-0.01138051,0.2104496,-0.005613872,0.9775224
-0.1613717,10.8374,43.17817	-0.01456154,0.2150914,-0.006915738,0.9764609
-0.1714847,10.9972,43.98127	-0.01749796,0.2201147,-0.007987016,0.9752844
-0.1725598,11.16537,44.8072	-0.0202203,0.225547,-0.00885391,0.9739822
-0.1644605,11.34208,45.65568	-0.02275532,0.231421,-0.009538871,0.9725408
-0.1470474,11.52751,46.52643	-0.02512665,0.237775,-0.01006118,0.9709431
-0.1201781,11.72184,47.41912	-0.02735519,0.2446545,-0.01043732,0.9691682
-0.08370732,11.92526,48.33344	-0.02945947,0.2521135,-0.01068119,0.9671902
-0.03748721,12.13797,49.26899	-0.03145606,0.2602154,-0.01080444,0.9649776
0.01863243,12.36017,50.22539	-0.03335983,0.2690351,-0.01081658,0.9624917
0.0848036,12.59207,51.2022	-0.0351843,0.2786613,-0.01072517,0.9596848
0.1612302,12.83387,52.19893	-0.03694195,0.2891985,-0.01053587,0.9564981
0.2481162,13.08181,53.21504	-0.03864452,0.3007697,-0.01025251,0.9528584
0.3380575,13.32174,54.24276	-0.03406909,0.2800704,-0.009038633,0.9593322
0.4310539,13.55367,55.28208	-0.03002094,0.262216,-0.007964646,0.9645092
0.5271056,13.77761,56.333	-0.02644585,0.246409,-0.007016162,0.9687797
0.6262125,13.99354,57.39553	-0.02329106,0.2324301,-0.006179187,0.9723146
0.7283745,14.20148,58.46967	-0.0205089,0.220079,-0.005441072,0.9752513
0.8335918,14.40141,59.55541	-0.01805654,0.2091739,-0.004790454,0.9777
0.9418643,14.59334,60.65275	-0.01589569,0.1995511,-0.004217176,0.9797494
1.053192,14.77728,61.7617	-0.01399226,0.1910637,-0.003712189,0.9814709
1.167575,14.95321,62.88226	-0.01231595,0.1835807,-0.003267459,0.9829221
1.285013,15.12114,64.01442	-0.01083992,0.1769852,-0.002875863,0.9841496
1.405507,15.28108,65.15818	-0.009540412,0.1711735,-0.0025311,0.9851915
1.528852,15.43301,66.3136	-0.008396436,0.1660535,-0.0022276,0.9860785
1.654642,15.57694,67.48077	-0.007389749,0.1605107,-0.001960523,0.9870045
1.782308,15.71288,68.65979	-0.006504182,0.1535607,-0.001725579,0.9881163
1.911177,15.84081,69.85075	-0.005725422,0.1445925,-0.001518972,0.9894736
2.040359,15.96074,71.0537	-0.005040778,0.1333238,-0.001337334,0.9910588
2.168862,16.07268,72.26864	-0.004439299,0.1189872,-0.00117776,0.9928852
2.296371,16.17661,73.49554	-0.003911083,0.1014224,-0.001037622,0.9948352
2.427633,16.55151,74.74811	0,0.1658453,0,0.9861518
2.56272,16.93281,76.02623	0,0.1658453,0,0.9861518
2.701657,17.32062,77.32978	-0.00879303,0.1641405,-0.01166419,0.9863288
2.844314,17.71508,78.6586	-0.0167192,0.1630186,-0.0219199,0.9862378
2.990726,18.11635,80.01253	-0.023884,0.1624527,-0.03093199,0.9859421
3.140931,18.52458,81.39139	-0.03038182,0.1624214,-0.03884873,0.9854882
3.294766,18.93994,82.79498	-0.03629694,0.162911,-0.04579974,0.9849086
3.451819,19.36261,84.223	-0.04170472,0.1639148,-0.05189981,0.9842251
3.611532,19.79278,85.6751	-0.04667283,0.1654336,-0.05725289,0.9834508
3.773467,20.23065,87.15089	-0.05126235,0.1674762,-0.06195384,0.9825913
3.937402,20.67645,88.64997	-0.05552881,0.1700616,-0.06608846,0.9816455
4.103372,21.1304,90.17202	-0.05952334,0.1732217,-0.06973217,0.9806063
4.271525,21.59275,91.71668	-0.0632939,0.1770027,-0.07295067,0.9794601
4.442017,22.06377,93.28358	-0.06688662,0.1814676,-0.0758013,0.978187
4.615016,22.54373,94.87229	-0.07034709,0.1866986,-0.07833624,0.9767591
4.7907,23.03292,96.48232	-0.07372213,0.1928008,-0.08060506,0.9751388
4.969262,23.53164,98.11312	-0.07706215,0.1999089,-0.08265626,0.9732758
5.1509,24.04022,99.76406	-0.08042441,0.2081947,-0.08453906,0.9711025
5.335825,24.55898,101.4344	-0.08387761,0.2178777,-0.08630538,0.9685274
5.524254,25.08824,103.1234	-0.08750856,0.2292381,-0.08801183,0.9654253
5.720213,25.62831,104.8187	-0.09143204,0.2426319,-0.08972146,0.9616236
5.923915,26.17551,106.5192	-0.09580482,0.2585045,-0.09150393,0.9568824
6.127618,26.7147,108.2198	-0.08446728,0.2745879,-0.08067536,0.9544414
